Token,DocuScope Category,Count,Document Count,Frequency (per mil. tokens),% of Documents
was coded,MethodsResultsDiscussion,67,43,0.38,0.10
these :,ReaderDirectedMetadiscourse,67,63,0.38,0.15
can contain,ConfidenceHedged,67,62,0.38,0.15
abstractly,ExpertVocabulary,67,63,0.38,0.15
may seek,ConfidenceHedged,67,59,0.38,0.14
definitional,ReaderDirectedMetadiscourse,67,56,0.38,0.13
personal style,ExpertVocabulary,67,48,0.38,0.11
were investigated,PurposePlan,67,60,0.38,0.14
subcategories,ExpertVocabulary,67,52,0.38,0.12
common thread,InformationComparison,67,65,0.38,0.15
brings with it,Reasoning,67,64,0.38,0.15
list in,ExpertVocabulary,67,62,0.38,0.15
instructor's,CharacterTypes,67,51,0.38,0.12
a diversity of,InformationQuantities,67,65,0.38,0.15
causes for,Reasoning,67,58,0.38,0.14
papers of,ExpertVocabulary,67,45,0.38,0.11
increase with,InformationComparison,67,61,0.38,0.14
rendered in,ExpertVocabulary,67,61,0.38,0.14
aspiring to,PurposePlan,67,62,0.38,0.15
as readers,ReaderDirectedMetadiscourse,67,57,0.38,0.13
we produce,ReaderDirectedMetadiscourseFP,67,61,0.38,0.14
".
due to the",Reasoning,67,65,0.38,0.15
no god,CharacterTypes,67,56,0.38,0.13
world views,ExpertVocabulary,67,45,0.38,0.11
the husband's,CharacterTypes,67,47,0.38,0.11
causing an,Reasoning,67,66,0.38,0.15
premises of,Reasoning,67,57,0.38,0.13
pensioners,CharacterTypes,67,49,0.38,0.11
offsetting,ExpertVocabulary,67,60,0.38,0.14
scene 2,ExpertVocabulary,67,65,0.38,0.15
in the form of an,InformationComparison,67,65,0.38,0.15
nonacademic,ExpertVocabulary,67,42,0.38,0.10
have been found to be,PurposePlan,67,58,0.38,0.14
the written word,ExpertVocabulary,67,63,0.38,0.15
".
the word",ExpertVocabulary,67,65,0.38,0.15
can be defined as,ReaderDirectedMetadiscourse,67,64,0.38,0.15
".
the children",CharacterTypes,67,61,0.38,0.14
rather large,ConfidenceHedged,67,67,0.38,0.16
with numbers,InformationQuantities,67,63,0.38,0.15
religious education,ExpertVocabulary,67,42,0.38,0.10
novels of,ExpertVocabulary,67,54,0.38,0.13
social reality,ExpertVocabulary,67,59,0.38,0.14
common ancestor,Reasoning,67,47,0.38,0.11
8-12,InformationQuantities,67,53,0.38,0.12
carriers of,ExpertVocabulary,67,57,0.38,0.13
":
this is",ReaderDirectedMetadiscourse,67,64,0.38,0.15
740,InformationQuantities,67,56,0.38,0.13
fighter pilot,CharacterTypes,67,54,0.38,0.13
remind us of,Reasoning,67,66,0.38,0.15
argued against,Reasoning,67,65,0.38,0.15
clergymen,CharacterTypes,67,53,0.38,0.12
have-nots,CharacterTypes,67,59,0.38,0.14
go-between,CharacterTypes,67,48,0.38,0.11
center of gravity,ExpertVocabulary,67,56,0.38,0.13
writ large,ConfidenceHigh,67,65,0.38,0.15
substances in,ExpertVocabulary,67,52,0.38,0.12
can earn,ConfidenceHedged,67,65,0.38,0.15
underlying cause,ConfidenceHigh,67,59,0.38,0.14
implemented with,Reasoning,67,53,0.38,0.12
neurologic,ExpertVocabulary,67,47,0.38,0.11
nobler,InformationComparison,67,48,0.38,0.11
biopsies,ExpertVocabulary,67,43,0.38,0.10
can touch,ConfidenceHedged,67,66,0.38,0.15
dweller,CharacterTypes,67,44,0.38,0.10
".
in some ways",ReaderDirectedMetadiscourse,67,67,0.38,0.16
fine-grained,ExpertVocabulary,67,52,0.38,0.12
impressionism,ExpertVocabulary,67,41,0.38,0.10
y -,ExpertVocabulary,67,46,0.38,0.11
feudalism,ExpertVocabulary,67,49,0.38,0.11
undercurrent of,ExpertVocabulary,67,66,0.38,0.15
it was clear to,ConfidenceHigh,67,66,0.38,0.15
suburbanites,CharacterTypes,67,56,0.38,0.13
magic number,ExpertVocabulary,67,60,0.38,0.14
757,InformationQuantities,67,45,0.38,0.11
british people,CharacterTypes,67,50,0.38,0.12
health-care system,ExpertVocabulary,67,50,0.38,0.12
take-home,ExpertVocabulary,67,61,0.38,0.14
may encounter,ConfidenceHedged,67,61,0.38,0.14
neoconservative,CharacterTypes,67,47,0.38,0.11
458,InformationQuantities,67,46,0.38,0.11
therefor,ExpertVocabulary,67,41,0.38,0.10
".
in this case ,",ReaderDirectedMetadiscourse,67,63,0.38,0.15
items like,ExpertVocabulary,67,63,0.38,0.15
the researchers found,PurposePlan,67,63,0.38,0.15
liberty to,Reasoning,67,62,0.38,0.15
come of,Reasoning,67,66,0.38,0.15
he realizes that,ConfidenceHigh,67,63,0.38,0.15
498,InformationQuantities,67,42,0.38,0.10
novel about,ExpertVocabulary,67,61,0.38,0.14
can check,ConfidenceHedged,67,63,0.38,0.15
appraiser,CharacterTypes,67,41,0.38,0.10
title character,ExpertVocabulary,67,53,0.38,0.12
rebut,Reasoning,67,48,0.38,0.11
emerging economies,ExpertVocabulary,67,44,0.38,0.10
new studies,ExpertVocabulary,67,61,0.38,0.14
baldness,CharacterTypes,67,57,0.38,0.13
gringos,CharacterTypes,67,47,0.38,0.11
epics,ExpertVocabulary,67,59,0.38,0.14
college graduate,CharacterTypes,67,63,0.38,0.15
. to be fair,ReaderDirectedMetadiscourse,67,65,0.38,0.15
vagabond,CharacterTypes,67,48,0.38,0.11
wirelessly,ExpertVocabulary,67,59,0.38,0.14
causing him to,Reasoning,67,62,0.38,0.15
babysitters,CharacterTypes,67,58,0.38,0.14
parallel universe,ExpertVocabulary,67,60,0.38,0.14
like a piece,InformationComparison,67,64,0.38,0.15
like a dream,InformationComparison,67,64,0.38,0.15
that's all there is to it,ConfidenceHigh,67,65,0.38,0.15
the dick,CharacterTypes,67,54,0.38,0.13
hunky,CharacterTypes,67,57,0.38,0.13
sure she was,ConfidenceHigh,67,67,0.38,0.16
must have gotten,Reasoning,67,65,0.38,0.15
crossword puzzle,ExpertVocabulary,67,56,0.38,0.13
lecturers,CharacterTypes,66,53,0.37,0.12
we might call,ReaderDirectedMetadiscourseFP,66,63,0.37,0.15
i claim,ReaderDirectedMetadiscourseFP,66,61,0.37,0.14
off-the-shelf,ExpertVocabulary,66,54,0.37,0.13
absolutely perfect,ConfidenceHigh,66,59,0.37,0.14
social value,ExpertVocabulary,66,49,0.37,0.11
the objectives,PurposePlan,66,55,0.37,0.13
social reform,ExpertVocabulary,66,43,0.37,0.10
interrelationships,ExpertVocabulary,66,59,0.37,0.14
eurocentric,ExpertVocabulary,66,47,0.37,0.11
much the same as,InformationComparison,66,64,0.37,0.15
from this point,ReaderDirectedMetadiscourse,66,61,0.37,0.14
could achieve,ConfidenceHedged,66,64,0.37,0.15
a delegation,CharacterTypes,66,64,0.37,0.15
was accurate,ConfidenceHigh,66,65,0.37,0.15
dialectical,ExpertVocabulary,66,53,0.37,0.12
"""
president",CharacterTypes,66,56,0.37,0.13
sixty-three,InformationQuantities,66,63,0.37,0.15
see table 4,MethodsResultsDiscussion,66,53,0.37,0.12
assertions that,CitationControversy,66,64,0.37,0.15
rank in,InformationQuantities,66,63,0.37,0.15
has been found to be,PurposePlan,66,64,0.37,0.15
smaller one,InformationComparison,66,65,0.37,0.15
important points,ReaderDirectedMetadiscourse,66,64,0.37,0.15
colonizers,CharacterTypes,66,42,0.37,0.10
were familiar with,CharacterTypes,66,64,0.37,0.15
only 30,InformationQuantities,66,64,0.37,0.15
".
sex",ExpertVocabulary,66,49,0.37,0.11
multi-ethnic,ExpertVocabulary,66,44,0.37,0.10
as assistant,CharacterTypes,66,57,0.37,0.13
the reasoning,Reasoning,66,59,0.37,0.14
supposes,Reasoning,66,56,0.37,0.13
469,InformationQuantities,66,54,0.37,0.13
old as,InformationComparison,66,64,0.37,0.15
buying power,ExpertVocabulary,66,59,0.37,0.14
generically,ExpertVocabulary,66,56,0.37,0.13
professional practice,MethodsResultsDiscussion,66,52,0.37,0.12
function of a,ExpertVocabulary,66,58,0.37,0.14
cellist,CharacterTypes,66,53,0.37,0.12
".
it was like",InformationComparison,66,64,0.37,0.15
high schoolers,CharacterTypes,66,61,0.37,0.14
fifty-three,InformationQuantities,66,65,0.37,0.15
informers,CharacterTypes,66,55,0.37,0.13
was attributed to,Reasoning,66,56,0.37,0.13
comprised the,Reasoning,66,65,0.37,0.15
complementarity,ExpertVocabulary,66,41,0.37,0.10
tempers,ExpertVocabulary,66,64,0.37,0.15
in a similar vein,ReaderDirectedMetadiscourse,66,64,0.37,0.15
various reasons,Reasoning,66,65,0.37,0.15
moneys,ExpertVocabulary,66,51,0.37,0.12
informer,CharacterTypes,66,55,0.37,0.13
have an effect on,Reasoning,66,64,0.37,0.15
in millions,InformationQuantities,66,61,0.37,0.14
. at this rate,Reasoning,66,66,0.37,0.15
identical twins,ExpertVocabulary,66,55,0.37,0.13
member of parliament,CharacterTypes,66,61,0.37,0.14
corresponded to,InformationComparison,66,59,0.37,0.14
welder,CharacterTypes,66,54,0.37,0.13
couriers,CharacterTypes,66,46,0.37,0.11
written word,ExpertVocabulary,66,53,0.37,0.12
1001,InformationQuantities,66,50,0.37,0.12
female character,ExpertVocabulary,66,51,0.37,0.12
mirror image,InformationComparison,66,62,0.37,0.15
it has been shown that,PurposePlan,66,53,0.37,0.12
this represents,Reasoning,66,60,0.37,0.14
same in,InformationComparison,66,65,0.37,0.15
as common as,InformationComparison,66,65,0.37,0.15
up to and including,InformationQuantities,66,58,0.37,0.14
has been suggested,PurposePlan,66,64,0.37,0.15
eighty-four,InformationQuantities,66,56,0.37,0.13
probable that,ConfidenceHedged,66,64,0.37,0.15
more than 90 %,InformationComparison,66,57,0.37,0.13
two-party system,ExpertVocabulary,66,46,0.37,0.11
dry cleaners,CharacterTypes,66,59,0.37,0.14
visiting professor,CharacterTypes,66,58,0.37,0.14
grim reaper,CharacterTypes,66,55,0.37,0.13
lyricist,CharacterTypes,66,46,0.37,0.11
presuming,Reasoning,66,64,0.37,0.15
possible reason,Reasoning,66,65,0.37,0.15
highest degree,InformationComparison,66,43,0.37,0.10
it is obvious,ConfidenceHigh,66,63,0.37,0.15
382,InformationQuantities,66,52,0.37,0.12
divas,CharacterTypes,66,55,0.37,0.13
cause them to,Reasoning,66,62,0.37,0.15
you get to be,CharacterTypes,66,60,0.37,0.14
inflections,ExpertVocabulary,66,61,0.37,0.14
aries,ExpertVocabulary,66,44,0.37,0.10
as cold as,InformationComparison,66,61,0.37,0.14
romance novels,ExpertVocabulary,66,50,0.37,0.12
anatomically,ExpertVocabulary,66,55,0.37,0.13
technologist,CharacterTypes,66,49,0.37,0.11
as we mentioned,ReaderDirectedMetadiscourseFP,66,61,0.37,0.14
golden boy,CharacterTypes,66,57,0.37,0.13
yuppies,CharacterTypes,66,55,0.37,0.13
research facility,ExpertVocabulary,66,56,0.37,0.13
like anything,InformationComparison,66,64,0.37,0.15
underground railroad,ExpertVocabulary,66,47,0.37,0.11
".
twenty",InformationQuantities,66,60,0.37,0.14
",
people",CharacterTypes,66,64,0.37,0.15
tidings,ExpertVocabulary,66,51,0.37,0.12
sporting goods,ExpertVocabulary,66,55,0.37,0.13
".
82",InformationQuantities,66,66,0.37,0.15
it's also important,ConfidenceHigh,66,64,0.37,0.15
deputy sheriff,CharacterTypes,66,48,0.37,0.11
gunners,CharacterTypes,66,49,0.37,0.11
deliberately .,PurposePlan,66,64,0.37,0.15
i support the,ReaderDirectedMetadiscourseFP,66,61,0.37,0.14
first house,InformationQuantities,66,57,0.37,0.13
sixes,InformationQuantities,66,50,0.37,0.12
county commissioner,CharacterTypes,66,49,0.37,0.11
like a couple,InformationComparison,66,63,0.37,0.15
realises,ConfidenceHigh,66,53,0.37,0.12
"...
or",ReaderDirectedMetadiscourse,66,65,0.37,0.15
".
i can see",ReaderDirectedMetadiscourseFP,66,64,0.37,0.15
half brother,CharacterTypes,66,49,0.37,0.11
are smarter,InformationComparison,66,66,0.37,0.15
midgets,CharacterTypes,66,46,0.37,0.11
i got myself,Reasoning,66,66,0.37,0.15
barista,CharacterTypes,66,47,0.37,0.11
buggers,CharacterTypes,66,57,0.37,0.13
smell like a,InformationComparison,66,60,0.37,0.14
rocket scientist,CharacterTypes,66,62,0.37,0.15
limited amount,InformationQuantities,65,63,0.37,0.15
is positively,ConfidenceHigh,65,55,0.37,0.13
authority figures,CharacterTypes,65,59,0.37,0.14
in a number of ways,InformationQuantities,65,65,0.37,0.15
life force,ExpertVocabulary,65,54,0.37,0.13
analogues,InformationComparison,65,48,0.37,0.11
legal scholars,CharacterTypes,65,53,0.37,0.12
is fundamental to,PurposePlan,65,65,0.37,0.15
great detail,ExpertVocabulary,65,65,0.37,0.15
pursue his,PurposePlan,65,63,0.37,0.15
military establishment,ExpertVocabulary,65,48,0.37,0.11
population's,ExpertVocabulary,65,59,0.37,0.14
chief executives,CharacterTypes,65,54,0.37,0.13
would almost certainly,ConfidenceHigh,65,62,0.37,0.15
as likely as,InformationComparison,65,50,0.37,0.12
biracial,ExpertVocabulary,65,50,0.37,0.12
might benefit,ConfidenceHedged,65,62,0.37,0.15
larger study,ExpertVocabulary,65,48,0.37,0.11
have implications for,Reasoning,65,64,0.37,0.15
theorized that,CitationControversy,65,58,0.37,0.14
727,InformationQuantities,65,52,0.37,0.12
menopausal,ExpertVocabulary,65,44,0.37,0.10
we explored,MethodsResultsDiscussion,65,58,0.37,0.14
data were analyzed,MethodsResultsDiscussion,65,62,0.37,0.15
main points,ReaderDirectedMetadiscourse,65,50,0.37,0.12
could apply,ConfidenceHedged,65,61,0.37,0.14
infer that,Reasoning,65,60,0.37,0.14
posit,CitationControversy,65,60,0.37,0.14
educational goals,PurposePlan,65,51,0.37,0.12
social benefits,ExpertVocabulary,65,59,0.37,0.14
reducible,ExpertVocabulary,65,53,0.37,0.12
could claim,ConfidenceHedged,65,60,0.37,0.14
are similarly,ReaderDirectedMetadiscourse,65,64,0.37,0.15
nearly half of the,InformationQuantities,65,62,0.37,0.15
management practices,MethodsResultsDiscussion,65,51,0.37,0.12
management system,ExpertVocabulary,65,44,0.37,0.10
planning an,PurposePlan,65,63,0.37,0.15
hot line,ExpertVocabulary,65,45,0.37,0.11
tuscan,ExpertVocabulary,65,55,0.37,0.13
section 1,ExpertVocabulary,65,42,0.37,0.10
can compare,ConfidenceHedged,65,62,0.37,0.15
contact for,CharacterTypes,65,60,0.37,0.14
survivalist,CharacterTypes,65,46,0.37,0.11
figurehead,CharacterTypes,65,64,0.37,0.15
acclimated,CharacterTypes,65,56,0.37,0.13
community needs,PurposePlan,65,51,0.37,0.12
interstate highway,ExpertVocabulary,65,57,0.37,0.13
known a,ConfidenceHigh,65,64,0.37,0.15
universalism,ExpertVocabulary,65,43,0.37,0.10
home-grown,ExpertVocabulary,65,59,0.37,0.14
".
technology",ExpertVocabulary,65,54,0.37,0.13
615,InformationQuantities,65,48,0.37,0.11
aging population,CharacterTypes,65,55,0.37,0.13
reports by,CitationNeutral,65,62,0.37,0.15
know for certain,ConfidenceHigh,65,61,0.37,0.14
4-7,InformationQuantities,65,56,0.37,0.13
restrictions of,ExpertVocabulary,65,61,0.37,0.14
can replace,ConfidenceHedged,65,64,0.37,0.15
what i consider,ReaderDirectedMetadiscourseFP,65,61,0.37,0.14
elucidate,ExpertVocabulary,65,58,0.37,0.14
442,InformationQuantities,65,49,0.37,0.11
show signs of,Reasoning,65,62,0.37,0.15
twenty-five thousand,InformationQuantities,65,54,0.37,0.13
are reports,CitationAuthority,65,60,0.37,0.14
body type,ExpertVocabulary,65,42,0.37,0.10
635,InformationQuantities,65,60,0.37,0.14
780,InformationQuantities,65,59,0.37,0.14
875,InformationQuantities,65,44,0.37,0.10
average score,ExpertVocabulary,65,44,0.37,0.10
what he had to say,CitationNeutral,65,64,0.37,0.15
we predicted,MethodsResultsDiscussion,65,44,0.37,0.10
full-time employees,CharacterTypes,65,55,0.37,0.13
mentioned as,ReaderDirectedMetadiscourse,65,64,0.37,0.15
preservatives,ExpertVocabulary,65,55,0.37,0.13
hydropower,ExpertVocabulary,65,46,0.37,0.11
innately,ExpertVocabulary,65,58,0.37,0.14
960,InformationQuantities,65,57,0.37,0.13
translational,ExpertVocabulary,65,44,0.37,0.10
".
donna",CharacterTypes,65,46,0.37,0.11
entry on,ExpertVocabulary,65,57,0.37,0.13
millers,CharacterTypes,65,45,0.37,0.11
endocrine,ExpertVocabulary,65,45,0.37,0.11
most compelling,Reasoning,65,64,0.37,0.15
mother-daughter,CharacterTypes,65,43,0.37,0.10
surefire,ConfidenceHigh,65,63,0.37,0.15
732,InformationQuantities,65,44,0.37,0.10
x in,ExpertVocabulary,65,52,0.37,0.12
part-timers,CharacterTypes,65,42,0.37,0.10
two-headed,InformationQuantities,65,42,0.37,0.10
new word,ExpertVocabulary,65,53,0.37,0.12
moral imperative,Reasoning,65,62,0.37,0.15
goers,CharacterTypes,65,55,0.37,0.13
screenwriters,CharacterTypes,65,50,0.37,0.12
this shows,Reasoning,65,64,0.37,0.15
as smooth as,InformationComparison,65,63,0.37,0.15
so high that,Reasoning,65,65,0.37,0.15
can recognize,ConfidenceHedged,65,62,0.37,0.15
lowest common denominator,ExpertVocabulary,65,55,0.37,0.13
screeners,CharacterTypes,65,41,0.37,0.10
as we look at,ReaderDirectedMetadiscourseFP,65,57,0.37,0.13
as if this were,InformationComparison,65,61,0.37,0.14
fully support,ConfidenceHigh,65,64,0.37,0.15
not entirely sure,ConfidenceHedged,65,65,0.37,0.15
someone may,Reasoning,65,58,0.37,0.14
has him,Reasoning,65,63,0.37,0.15
prisoner of war,CharacterTypes,65,52,0.37,0.12
to legalize,PurposePlan,65,52,0.37,0.12
gangrene,ExpertVocabulary,65,59,0.37,0.14
for one reason or another,Reasoning,65,63,0.37,0.15
was like an,InformationComparison,65,65,0.37,0.15
riot police,CharacterTypes,65,47,0.37,0.11
weather report,ExpertVocabulary,65,51,0.37,0.12
lawman,CharacterTypes,65,44,0.37,0.10
fat cats,CharacterTypes,65,56,0.37,0.13
it's pretty obvious,ConfidenceHigh,65,62,0.37,0.15
ten grand,InformationQuantities,65,54,0.37,0.13
mentioned you,CitationNeutral,65,64,0.37,0.15
written an,CitationNeutral,64,60,0.36,0.14
in order to increase,PurposePlan,64,63,0.36,0.15
prerequisites,Reasoning,64,45,0.36,0.11
are required .,PurposePlan,64,62,0.36,0.15
supersedes,Reasoning,64,57,0.36,0.13
synchronicity,ExpertVocabulary,64,49,0.36,0.11
comprise a,Reasoning,64,59,0.36,0.14
".
it should be noted",ReaderDirectedMetadiscourse,64,61,0.36,0.14
cultural contexts,ExpertVocabulary,64,47,0.36,0.11
defined a,ReaderDirectedMetadiscourse,64,64,0.36,0.15
transportation system,ExpertVocabulary,64,52,0.36,0.12
the sets,ExpertVocabulary,64,49,0.36,0.11
credit to the,Reasoning,64,54,0.36,0.13
million students,CharacterTypes,64,54,0.36,0.13
as those of,InformationComparison,64,63,0.36,0.15
eighty-three,InformationQuantities,64,57,0.36,0.13
there is evidence,ConfidenceHigh,64,61,0.36,0.14
unconstrained,ExpertVocabulary,64,60,0.36,0.14
they describe,CitationNeutral,64,63,0.36,0.15
while students,CharacterTypes,64,59,0.36,0.14
political activists,CharacterTypes,64,57,0.36,0.13
subjecting,ExpertVocabulary,64,61,0.36,0.14
seem to believe,ConfidenceHedged,64,62,0.36,0.15
results can be,ConfidenceHedged,64,60,0.36,0.14
economic reasons,Reasoning,64,60,0.36,0.14
880,InformationQuantities,64,56,0.36,0.13
midrange,ExpertVocabulary,64,43,0.36,0.10
which causes,Reasoning,64,62,0.36,0.15
may enter,ConfidenceHedged,64,60,0.36,0.14
strongly suggests that,Reasoning,64,63,0.36,0.15
can encourage,ConfidenceHedged,64,61,0.36,0.14
mystifying,ExpertVocabulary,64,58,0.36,0.14
villager,CharacterTypes,64,53,0.36,0.12
photogenic,ExpertVocabulary,64,57,0.36,0.13
dysentery,ExpertVocabulary,64,61,0.36,0.14
cognitive psychology,ExpertVocabulary,64,43,0.36,0.10
experimental data,MethodsResultsDiscussion,64,47,0.36,0.11
if and only if,Reasoning,64,49,0.36,0.11
565,InformationQuantities,64,50,0.36,0.12
have demonstrated that,CitationAuthority,64,63,0.36,0.15
posited that,CitationControversy,64,59,0.36,0.14
weightlessness,ExpertVocabulary,64,52,0.36,0.12
it may be possible,ConfidenceHedged,64,64,0.36,0.15
he regarded,CitationAuthority,64,61,0.36,0.14
has been considered,PurposePlan,64,59,0.36,0.14
dotted line,ExpertVocabulary,64,50,0.36,0.12
437,InformationQuantities,64,53,0.36,0.12
462,InformationQuantities,64,56,0.36,0.13
set the tone for,Reasoning,64,63,0.36,0.15
analogs,InformationComparison,64,44,0.36,0.10
are more like,InformationComparison,64,60,0.36,0.14
patrons of,CharacterTypes,64,58,0.36,0.14
can address,ConfidenceHedged,64,63,0.36,0.15
table 8,MethodsResultsDiscussion,64,47,0.36,0.11
main reasons,Reasoning,64,63,0.36,0.15
some evidence that,Reasoning,64,62,0.36,0.15
individualist,ExpertVocabulary,64,47,0.36,0.11
they produced,CitationAuthority,64,63,0.36,0.15
we conclude that,Reasoning,64,58,0.36,0.14
technicalities,ExpertVocabulary,64,61,0.36,0.14
is ranked,InformationQuantities,64,50,0.36,0.12
detailed analysis,Reasoning,64,59,0.36,0.14
quite easily,ConfidenceHigh,64,62,0.36,0.15
under the banner of,ExpertVocabulary,64,59,0.36,0.14
family doctor,CharacterTypes,64,56,0.36,0.13
trial lawyer,CharacterTypes,64,55,0.36,0.13
demonstrate to,ConfidenceHigh,64,63,0.36,0.15
can indeed,ConfidenceHigh,64,62,0.36,0.15
entomology,ExpertVocabulary,64,48,0.36,0.11
fueling the,Reasoning,64,63,0.36,0.15
overlords,CharacterTypes,64,54,0.36,0.13
aerodynamics,ExpertVocabulary,64,47,0.36,0.11
626,InformationQuantities,64,46,0.36,0.11
i said to her,ReaderDirectedMetadiscourse,64,58,0.36,0.14
upperclassmen,CharacterTypes,64,41,0.36,0.10
has been shown,PurposePlan,64,63,0.36,0.15
enlistment,ExpertVocabulary,64,45,0.36,0.11
"""
but ,",ReaderDirectedMetadiscourse,64,63,0.36,0.15
technologists,CharacterTypes,64,50,0.36,0.12
academic press,ExpertVocabulary,64,55,0.36,0.13
what i call the,ReaderDirectedMetadiscourseFP,64,62,0.36,0.15
sixty-four,InformationQuantities,64,61,0.36,0.14
according to that,CitationNeutral,64,57,0.36,0.13
code word,ExpertVocabulary,64,53,0.36,0.12
514,InformationQuantities,64,46,0.36,0.11
mentions of,CitationNeutral,64,54,0.36,0.13
make an impact,Reasoning,64,60,0.36,0.14
702,InformationQuantities,64,46,0.36,0.11
introvert,CharacterTypes,64,41,0.36,0.10
father-son,CharacterTypes,64,60,0.36,0.14
material things,ExpertVocabulary,64,50,0.36,0.12
suffix,ExpertVocabulary,64,46,0.36,0.11
820,InformationQuantities,64,46,0.36,0.11
i predicted,MethodsResultsDiscussion,64,56,0.36,0.13
like so much,ReaderDirectedMetadiscourse,64,61,0.36,0.14
churchgoers,CharacterTypes,64,49,0.36,0.11
i recorded,MethodsResultsDiscussion,64,59,0.36,0.14
subatomic,ExpertVocabulary,64,41,0.36,0.10
posit that,CitationControversy,64,62,0.36,0.15
fifteen thousand,InformationQuantities,64,54,0.36,0.13
leading cause,ConfidenceHigh,64,55,0.36,0.13
in order to take,PurposePlan,64,62,0.36,0.15
vegans,CharacterTypes,64,42,0.36,0.10
517,InformationQuantities,64,49,0.36,0.11
could rise,ConfidenceHedged,64,56,0.36,0.13
tennis player,CharacterTypes,64,55,0.36,0.13
as crazy as,InformationComparison,64,63,0.36,0.15
ventriloquist,CharacterTypes,64,47,0.36,0.11
main point,ReaderDirectedMetadiscourse,64,54,0.36,0.13
missive,ExpertVocabulary,64,58,0.36,0.14
the moms,CharacterTypes,64,46,0.36,0.11
heart condition,ExpertVocabulary,64,56,0.36,0.13
v-8,ExpertVocabulary,64,45,0.36,0.11
staff sergeant,CharacterTypes,64,43,0.36,0.10
true believer,CharacterTypes,64,60,0.36,0.14
scene 3,ExpertVocabulary,64,62,0.36,0.15
".
84",InformationQuantities,64,64,0.36,0.15
".
85",InformationQuantities,64,64,0.36,0.15
ex-wives,CharacterTypes,64,51,0.36,0.12
15 pounds,InformationQuantities,64,57,0.36,0.13
as loud as,InformationComparison,64,62,0.36,0.15
state troopers,CharacterTypes,64,53,0.36,0.12
"
this is",ReaderDirectedMetadiscourse,64,60,0.36,0.14
channel of,ExpertVocabulary,63,57,0.35,0.13
uninitiated,CharacterTypes,63,61,0.35,0.14
monotheistic,ExpertVocabulary,63,51,0.35,0.12
thinly veiled,ExpertVocabulary,63,58,0.35,0.14
mayans,ExpertVocabulary,63,44,0.35,0.10
must be understood,PurposePlan,63,58,0.35,0.14
four questions,InformationQuantities,63,53,0.35,0.12
their claim,CitationControversy,63,59,0.35,0.14
would indeed,ConfidenceHigh,63,62,0.35,0.15
detours,ExpertVocabulary,63,61,0.35,0.14
justifying the,Reasoning,63,56,0.35,0.13
chinese economy,ExpertVocabulary,63,44,0.35,0.10
simile,ExpertVocabulary,63,45,0.35,0.11
his interests,CharacterTypes,63,57,0.35,0.13
tally of,ExpertVocabulary,63,60,0.35,0.14
".
as in",InformationComparison,63,61,0.35,0.14
to substantiate,PurposePlan,63,57,0.35,0.13
baseline data,MethodsResultsDiscussion,63,48,0.35,0.11
briefest,InformationComparison,63,63,0.35,0.15
as they see fit,CharacterTypes,63,58,0.35,0.14
academic work,ExpertVocabulary,63,57,0.35,0.13
begets,Reasoning,63,55,0.35,0.13
write-up,ExpertVocabulary,63,53,0.35,0.12
some argue,CitationControversy,63,60,0.35,0.14
".
less",InformationComparison,63,59,0.35,0.14
by a team of,Reasoning,63,57,0.35,0.13
underlings,CharacterTypes,63,59,0.35,0.14
know well,ConfidenceHigh,63,59,0.35,0.14
many people believe,CitationControversy,63,59,0.35,0.14
practical reasons,Reasoning,63,60,0.35,0.14
basic education,ExpertVocabulary,63,46,0.35,0.11
perform as,InformationComparison,63,61,0.35,0.14
present tense,ExpertVocabulary,63,50,0.35,0.12
it is different,ReaderDirectedMetadiscourse,63,56,0.35,0.13
authority figure,CharacterTypes,63,59,0.35,0.14
an anthology,ExpertVocabulary,63,54,0.35,0.13
it is quite possible,ConfidenceHedged,63,59,0.35,0.14
water supplies,ExpertVocabulary,63,54,0.35,0.13
social changes,ExpertVocabulary,63,54,0.35,0.13
can present,ConfidenceHedged,63,62,0.35,0.15
there is no question that,ConfidenceHigh,63,62,0.35,0.15
went on to say,CitationNeutral,63,61,0.35,0.14
by being a,Reasoning,63,60,0.35,0.14
they reveal,CitationAuthority,63,59,0.35,0.14
proposing that,ReaderDirectedMetadiscourse,63,61,0.35,0.14
had no reason,Reasoning,63,60,0.35,0.14
assembling the,InformationQuantities,63,59,0.35,0.14
insufficient evidence,PurposePlan,63,51,0.35,0.12
attenuation,ExpertVocabulary,63,49,0.35,0.11
a reported,ConfidenceHedged,63,55,0.35,0.13
tended to have,ConfidenceHedged,63,56,0.35,0.13
inveterate,ExpertVocabulary,63,58,0.35,0.14
were it,ConfidenceLow,63,59,0.35,0.14
".
it all",Reasoning,63,62,0.35,0.15
in every aspect,Reasoning,63,63,0.35,0.15
vestigial,ExpertVocabulary,63,53,0.35,0.12
attributes to,Reasoning,63,54,0.35,0.13
".
older",InformationComparison,63,51,0.35,0.12
atheistic,ExpertVocabulary,63,44,0.35,0.10
did not address,PurposePlan,63,57,0.35,0.13
459,InformationQuantities,63,47,0.35,0.11
jazz musicians,CharacterTypes,63,44,0.35,0.10
narrowest,InformationComparison,63,63,0.35,0.15
".
the survey",Reasoning,63,51,0.35,0.12
he named,CitationAuthority,63,63,0.35,0.15
persuasions,ExpertVocabulary,63,57,0.35,0.13
we introduce,PurposePlan,63,53,0.35,0.12
